"V1"
0.19002
0.18889
0.19214
0.19178
0.18271
0.19587
0.19384
0.19687
0.19606
0.18686
0.18236
0.18188
0.18718
0.17605
0.17113
0.1854
0.18549
0.18974
0.18204
0.17627
0.19664
0.19395
0.1968
0.19925
0.1876
